enrolled,VerifyPhone,Other,VerifyDateOfBirth,location,is_weekend_enrolleddate,VerifyCountry,Credit,numscreens,BankVerification,idscreen,VerifyMobile,Loan_all,Alerts,age,user
1,1,9,1,1,0,1,3,39,1,1,1,1,0,45,185092
0,0,4,1,0,0,0,0,7,0,0,0,0,0,34,177834
0,1,6,1,1,0,1,0,14,0,1,0,1,0,38,235616
1,1,7,1,1,0,1,0,18,0,1,0,1,0,46,350654
0,0,4,0,0,0,0,0,8,0,1,0,1,0,22,149499
1,1,7,1,1,0,1,0,27,1,1,0,1,0,19,277249
1,1,8,1,1,0,1,0,52,0,0,0,1,1,28,58451
1,1,17,1,1,1,1,2,48,0,1,0,1,0,35,163715
0,1,6,1,1,0,1,1,32,0,0,0,2,0,28,274093
0,0,4,0,0,0,0,0,11,0,0,0,1,0,22,139567
1,1,10,1,1,1,1,0,16,0,1,0,0,0,21,137484
1,1,9,0,0,0,1,4,28,0,1,0,1,0,25,39677
1,1,9,0,0,0,1,3,29,0,0,0,1,0,23,277960
1,1,4,1,1,1,0,3,24,0,0,0,0,0,32,351023
1,1,14,0,0,0,1,0,21,0,0,0,1,0,34,123984
1,1,18,1,1,1,1,3,136,1,1,0,1,0,24,184032
0,1,3,0,0,0,0,0,10,0,0,0,1,0,25,329480
0,1,11,1,1,0,1,1,41,1,0,0,1,0,31,60702
1,1,13,1,1,0,1,0,28,1,0,0,1,0,27,125898
0,0,5,0,0,0,0,0,5,0,0,0,0,0,17,306457
1,1,7,1,1,0,1,0,13,0,0,0,0,0,35,143018
0,1,4,0,0,0,1,1,11,0,0,0,1,0,26,40978
0,1,3,0,0,0,0,0,8,0,0,0,1,0,27,232734
0,1,6,1,1,0,1,1,18,0,0,1,0,0,20,172249
1,1,9,1,1,1,1,0,47,0,0,0,0,0,30,22652
1,1,12,1,1,0,1,2,47,0,0,0,1,0,23,127958
0,1,7,0,1,0,1,0,13,1,0,0,0,0,56,86325
1,0,6,1,1,0,0,0,11,1,1,0,0,0,19,325393
0,0,4,0,0,0,0,2,21,0,0,0,2,0,42,272545
0,0,4,1,1,0,0,0,7,0,1,0,0,0,24,93890
0,0,2,0,0,0,0,0,7,0,0,0,0,0,30,69353
1,1,8,1,0,0,0,0,20,1,1,0,1,0,17,208409
1,1,7,0,0,0,1,0,18,1,0,0,0,0,30,25627
0,1,7,0,0,0,1,0,16,1,0,0,0,0,34,290211
0,0,2,0,0,0,0,0,4,0,0,0,2,0,37,13148
0,0,7,1,1,0,1,2,34,1,0,0,1,1,27,140258
1,1,7,1,1,1,1,0,16,1,0,0,0,0,19,272434
0,1,8,1,1,0,1,1,40,0,1,0,1,0,25,311539
0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,54898
1,1,7,0,0,0,1,0,15,0,1,0,1,0,34,72135
1,1,10,1,1,0,1,0,59,1,0,0,1,0,24,246297
1,0,4,1,1,0,0,1,9,0,0,1,0,0,43,43535
1,1,13,1,1,0,1,1,45,1,0,0,2,0,41,255766
1,1,7,0,0,0,0,4,25,0,1,0,1,0,21,182086
1,1,8,1,1,0,1,3,33,0,0,0,1,0,29,353697
0,0,6,0,0,0,0,0,7,1,0,0,0,0,33,151404
0,1,8,0,1,0,1,3,29,1,0,0,2,1,26,78196
0,0,1,0,0,0,0,1,3,0,0,0,0,0,24,317630
0,0,2,0,1,0,0,0,4,0,0,0,1,0,17,96320
0,0,5,0,0,0,0,1,38,0,0,0,2,1,41,3052
0,0,4,0,0,0,0,3,21,0,0,0,1,1,30,214961
0,0,4,1,0,0,0,0,6,1,0,0,0,0,33,120380
1,1,10,1,1,1,1,4,49,0,0,0,1,0,23,179917
1,0,4,0,0,1,1,0,6,0,0,0,0,0,20,130555
1,0,4,1,1,0,0,0,8,0,1,0,0,0,31,272615
1,1,11,1,1,1,1,0,20,0,1,0,0,0,22,15106
1,1,7,1,1,0,0,3,41,0,1,0,1,0,30,202340
1,1,7,1,1,1,0,4,40,0,1,0,2,0,39,105984
0,0,7,0,0,0,0,0,25,0,0,0,2,1,31,155491
1,0,7,1,1,0,0,1,34,0,0,1,1,0,21,216192
0,1,7,1,1,0,1,0,11,0,0,0,0,0,37,316136
1,1,12,1,1,0,1,2,89,1,1,0,1,0,17,35333
1,1,8,1,1,0,1,1,22,0,0,0,1,0,31,169339
0,0,2,0,0,0,0,1,8,0,0,0,1,0,47,94763
1,1,3,1,1,1,0,3,20,0,0,0,1,0,24,177859
1,1,5,0,1,1,0,3,25,1,0,0,0,0,32,27513
0,0,3,0,0,1,0,1,25,1,0,0,0,0,25,368717
0,1,7,1,1,0,1,0,43,0,0,0,0,0,25,165008
1,1,8,0,1,0,1,0,13,1,0,0,0,0,26,109154
0,0,6,1,1,0,0,0,20,1,0,0,1,0,18,276264
1,1,12,0,1,0,1,3,47,1,1,0,1,0,29,154536
1,1,14,1,1,1,1,0,39,1,0,0,1,0,20,116034
1,1,8,0,1,0,1,0,38,0,1,0,1,0,22,167756
1,1,15,0,0,1,1,2,35,1,0,0,1,0,46,56270
1,1,9,0,1,0,1,4,36,1,1,0,1,0,31,144393
0,0,6,0,1,0,0,0,22,1,0,0,2,0,45,138529
0,0,2,0,0,0,0,0,12,1,0,0,1,0,28,339263
1,1,15,1,1,0,1,0,37,1,1,0,1,0,42,364344
1,1,8,1,1,0,1,1,20,1,0,0,0,0,23,262301
1,1,6,0,0,1,0,0,13,0,1,0,1,0,24,89726
0,1,6,0,0,0,1,0,11,0,1,0,1,0,19,312461
1,1,4,0,0,1,0,2,13,1,0,0,0,0,38,62035
1,1,4,0,0,1,0,2,14,1,0,0,1,0,27,264696
1,1,9,0,0,0,1,0,19,1,0,0,1,0,33,269067
0,0,6,0,0,0,0,0,40,0,0,0,2,0,28,347837
1,1,8,1,1,1,1,0,16,1,1,0,0,0,53,229111
1,1,7,0,0,0,0,3,43,0,0,0,1,1,27,25410
1,0,3,0,0,0,0,1,6,0,0,0,1,0,30,247778
0,1,9,1,1,1,1,0,27,1,0,0,1,0,24,93446
0,0,7,0,0,0,0,2,56,0,1,0,2,0,44,155344
0,1,15,0,1,0,1,0,31,1,0,0,3,0,33,348712
0,0,9,0,0,0,0,1,33,0,1,0,1,0,22,197551
0,0,3,0,0,0,0,1,12,0,1,0,2,0,49,178798
1,1,4,0,0,0,0,2,29,1,0,0,0,0,42,316132
1,1,8,1,1,0,1,0,32,0,1,0,1,0,29,133446
1,1,10,1,1,0,1,1,30,1,0,0,1,0,26,94214
0,1,3,0,0,0,0,0,12,0,0,0,1,0,39,217161
0,0,2,0,0,0,0,3,12,0,0,0,2,0,19,241331
0,0,3,0,0,0,0,2,13,1,0,0,0,0,58,8244
1,0,0,0,0,0,0,1,2,0,0,0,1,0,36,135746
0,0,4,0,0,0,0,0,6,0,0,0,0,0,19,354357
0,0,1,0,0,0,0,2,5,0,0,0,2,0,33,183537
1,1,9,1,1,0,1,3,27,0,0,1,1,0,46,240067
1,1,9,1,1,0,1,0,30,1,0,0,0,0,38,231204
0,0,4,0,0,0,0,1,11,0,1,0,1,0,21,12895
1,1,12,1,1,1,1,0,36,0,0,0,0,0,28,255296
0,1,5,0,1,0,1,0,9,0,0,0,1,0,25,235640
0,1,7,0,1,0,1,0,24,1,0,0,1,1,20,30069
1,1,15,1,1,0,1,3,44,0,1,0,1,0,21,116493
1,1,12,1,1,0,1,0,27,1,0,0,1,0,24,271120
1,1,9,1,1,0,1,1,92,1,0,0,1,1,19,270132
1,1,8,0,0,0,1,0,17,1,0,0,0,0,30,7914
1,0,3,1,1,0,0,1,9,0,1,1,0,0,17,145742
0,0,3,0,0,0,0,1,8,0,0,0,1,0,47,233803
1,1,9,1,1,0,1,1,20,1,0,0,1,0,23,182226
0,1,6,0,0,0,0,0,22,0,1,0,0,0,38,100926
1,1,13,1,1,0,1,0,23,1,1,0,0,0,37,284326
1,1,7,1,1,0,1,0,16,0,1,0,1,0,18,328645
1,1,5,1,1,0,1,0,12,1,0,0,0,0,39,353523
1,0,9,0,1,1,1,0,20,0,0,0,1,0,20,270946
0,1,7,1,1,0,1,0,23,0,0,0,0,0,19,99313
1,1,5,0,0,0,1,1,9,0,0,0,0,0,24,133478
0,0,7,0,0,0,0,1,26,1,1,0,1,0,20,173108
1,1,11,0,0,1,0,3,59,1,1,0,1,0,41,99535
1,0,5,1,1,1,0,2,10,0,0,1,0,0,60,356130
1,1,10,1,1,1,1,0,31,0,1,0,0,0,21,213074
0,0,14,1,1,0,1,3,51,1,0,0,2,1,40,89934
0,1,8,1,1,0,1,1,26,0,0,0,1,0,24,88818
0,0,2,0,0,0,0,0,6,1,0,0,1,0,60,365442
0,0,3,1,1,0,0,0,6,0,0,0,0,0,27,157846
1,0,3,0,1,0,1,0,8,1,0,0,0,0,22,262169
0,1,12,1,1,0,1,0,27,1,0,0,1,0,20,334017
0,1,11,1,1,0,1,1,57,0,0,0,1,0,26,137410
0,0,0,0,0,0,0,0,3,0,0,0,1,0,23,67270
0,1,12,1,1,1,1,0,22,1,1,0,0,0,24,74986
1,1,7,1,1,0,1,0,16,0,1,0,1,0,28,141543
0,0,4,0,0,0,0,1,15,0,0,0,1,0,29,267454
0,0,2,0,0,0,0,1,13,0,0,0,2,0,32,2584
1,1,10,1,1,1,1,2,27,1,1,0,1,0,23,153178
1,1,5,1,1,0,0,4,22,1,0,0,0,0,21,282214
1,1,12,1,1,0,1,1,36,0,1,0,1,0,18,370820
1,1,14,1,1,1,1,1,70,1,1,0,1,0,26,304331
1,1,9,1,1,0,0,3,58,1,1,0,1,0,43,47893
0,0,2,0,0,0,0,0,9,1,0,0,1,0,37,21054
1,1,8,0,0,0,1,0,15,0,0,0,0,0,28,81825
0,0,5,0,0,0,0,0,13,0,1,0,2,0,21,269391
1,1,8,1,1,0,1,0,24,1,1,0,1,0,31,234265
0,0,2,0,0,0,0,1,6,0,0,0,1,0,46,36273
0,0,1,0,0,0,0,0,4,0,0,0,1,0,45,128464
0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,309069
0,0,4,1,0,1,0,2,16,1,1,0,1,0,44,32977
0,0,3,0,0,0,0,1,13,0,0,0,2,0,40,152086
0,0,7,0,0,0,0,1,23,0,1,0,1,0,27,90836
1,1,3,0,0,0,0,2,16,0,1,0,0,0,50,324080
1,0,6,0,0,0,0,0,15,1,1,0,1,0,19,132356
1,1,6,1,1,1,1,0,34,0,1,0,1,0,23,84550
0,0,1,0,0,0,0,0,2,0,0,0,1,0,40,335132
0,0,2,0,0,0,0,4,66,0,0,0,1,1,38,61310
0,0,5,1,1,0,0,0,25,0,1,0,2,0,23,276122
0,0,12,1,1,0,1,0,24,1,1,0,0,0,19,243662
1,1,3,1,1,0,0,3,11,0,1,0,0,0,52,72928
0,0,2,0,0,0,0,1,6,0,0,0,1,0,29,195650
0,0,5,0,0,0,0,0,21,1,1,0,0,0,24,237569
0,0,3,1,1,0,0,0,19,0,0,0,1,0,20,88251
1,1,8,1,1,1,1,1,46,1,1,0,0,0,24,313088
0,0,2,0,0,0,0,0,6,0,0,0,0,0,56,246668
0,1,8,0,0,0,0,4,27,0,1,0,1,0,23,260440
0,0,7,0,0,0,0,0,19,1,0,0,2,0,21,93801
0,1,9,0,0,0,1,1,28,1,0,1,1,0,24,325447
1,0,10,1,1,0,0,3,55,1,1,1,1,0,48,84955
0,1,1,1,1,0,0,3,11,0,0,0,1,0,18,166886
0,0,2,0,0,0,0,0,13,0,0,0,1,0,42,67380
1,0,2,0,0,1,0,0,4,0,1,0,0,0,31,336299
0,0,5,0,0,0,0,0,8,0,0,0,0,0,22,217381
0,1,8,1,1,0,1,0,23,0,1,0,1,0,21,595
1,1,6,1,0,1,0,2,17,0,1,0,0,0,19,176032
0,0,6,0,0,0,0,0,12,0,1,0,0,0,31,81054
1,0,7,0,1,1,1,1,40,0,0,0,1,0,38,119550
0,0,2,0,0,0,0,0,25,1,0,0,0,0,57,300225
1,0,6,1,1,0,0,1,22,0,0,0,1,0,22,233560
1,1,9,0,0,0,1,0,13,1,0,0,0,0,23,235763
1,0,2,0,0,0,1,0,4,0,1,0,0,0,26,99595
0,0,3,0,0,0,0,0,5,0,0,0,1,0,23,113895
0,0,5,0,0,0,0,1,10,0,0,0,1,0,47,106449
0,1,5,1,1,0,1,0,24,0,1,0,1,1,60,252384
0,1,5,0,0,0,0,4,61,0,0,0,1,1,30,355389
1,1,5,1,1,0,0,3,24,0,0,0,2,0,53,11366
1,1,8,1,1,1,1,1,25,0,0,0,1,0,25,207380
1,1,13,0,0,1,1,0,75,1,0,0,1,0,39,322521
1,1,9,1,1,1,1,2,55,0,1,0,1,0,24,326276
1,0,8,0,0,0,1,0,12,1,0,0,0,0,33,26534
0,0,11,1,1,0,1,2,28,0,0,0,2,0,39,67930
1,0,4,0,0,1,0,0,10,0,0,0,1,0,21,321781
1,1,3,0,0,1,0,2,9,0,1,0,0,0,49,311122
1,1,11,1,1,0,1,4,39,1,1,0,1,1,34,22724
0,0,8,0,0,0,0,4,34,1,0,0,1,1,37,54275
0,0,5,1,1,0,0,0,10,0,0,0,1,0,24,133403
1,1,11,1,1,1,1,2,50,0,0,1,1,0,19,22623
1,0,1,0,0,0,0,0,1,0,0,0,0,0,33,152107
0,0,1,0,0,0,0,0,5,1,0,0,1,0,36,206614
0,1,10,1,1,0,1,0,46,0,0,0,2,0,42,152317
1,1,9,1,1,1,1,1,23,0,1,0,1,0,22,186231
0,0,11,1,1,0,1,0,44,1,1,0,0,1,62,154510
0,1,5,1,1,0,1,0,9,0,0,0,0,0,18,35868
1,1,10,0,0,0,1,1,42,1,1,1,1,0,27,252276
1,1,10,1,1,0,1,2,26,1,1,0,1,0,40,96475
0,1,5,1,1,0,1,0,9,0,0,0,0,0,47,48738
1,1,6,0,0,0,0,3,16,0,0,0,1,0,24,128061
1,1,7,1,1,1,1,0,19,1,1,0,0,0,63,360310
0,1,4,1,1,0,1,0,10,0,1,0,0,0,21,33056
1,1,4,1,1,0,0,3,13,0,1,0,1,0,37,155464
1,0,11,0,1,0,1,0,20,0,0,0,3,0,39,254646
0,0,1,0,0,0,0,2,19,0,0,0,1,1,41,9219
1,1,3,0,1,0,0,3,10,0,0,0,0,0,28,343109
0,0,5,0,0,0,0,4,36,0,0,0,2,1,41,173971
0,0,2,0,0,0,0,0,10,0,0,0,0,1,45,301014
0,1,9,0,0,0,0,0,22,1,0,0,1,0,32,197481
1,1,6,0,0,0,0,3,27,1,1,0,1,0,32,310735
1,1,9,1,1,0,1,0,14,0,0,0,1,0,31,128593
0,1,8,0,0,1,0,1,37,1,1,0,1,0,29,230906
0,0,1,0,0,0,0,0,2,0,0,0,0,0,49,140466
0,0,4,0,1,0,1,0,8,0,0,0,1,0,34,335518
1,1,6,1,1,0,1,0,22,0,1,0,0,0,16,303117
0,1,5,0,0,0,1,0,7,0,0,0,0,0,45,122893
0,1,3,1,0,0,0,1,7,0,0,0,0,0,21,17958
1,1,14,1,1,1,1,1,34,1,1,0,1,0,21,258498
1,1,4,0,0,0,0,4,25,0,0,0,0,0,29,231701
1,1,14,0,1,0,1,1,34,1,0,0,1,0,19,79140
0,0,1,0,0,0,0,0,3,0,0,0,0,0,25,143464
0,1,18,1,1,0,1,1,46,0,1,0,3,0,22,25387
1,1,14,1,1,0,1,0,40,1,0,0,1,0,28,144820
1,1,15,1,1,0,1,3,33,1,1,0,1,0,20,353289
1,0,4,1,1,0,0,3,16,0,1,1,0,0,19,53795
1,0,5,0,0,1,0,1,16,0,0,0,1,0,38,254594
1,1,11,1,0,1,1,0,22,1,0,0,1,0,33,197255
1,1,6,0,0,0,0,3,31,1,1,0,1,0,19,2883
1,1,8,0,0,0,1,1,14,1,0,0,1,0,24,349090
0,0,1,0,0,0,0,0,4,1,0,0,1,0,29,85455
0,0,5,0,0,1,0,0,34,0,0,0,0,1,41,145673
0,0,1,0,0,0,0,0,4,0,0,0,1,0,53,186933
0,0,3,0,0,0,0,0,7,0,0,0,2,0,50,251478
0,0,11,0,1,1,1,0,50,1,1,0,1,1,41,200863
0,1,7,1,0,0,0,2,36,0,1,0,2,1,31,127933
0,1,4,0,1,0,1,0,12,0,0,0,1,0,28,233385
1,1,14,1,1,1,1,3,42,1,0,0,1,0,21,23306
0,0,3,0,1,0,0,0,4,0,0,0,0,0,26,286703
0,1,8,0,0,0,1,0,16,1,0,0,0,0,25,203193
0,0,4,0,0,0,0,1,47,1,0,0,2,1,48,112721
1,1,8,1,1,0,1,0,13,1,0,0,0,0,53,53596
0,0,7,0,0,0,0,1,15,0,0,0,1,0,28,124230
1,0,4,1,1,1,0,0,8,0,0,0,1,0,28,229047
0,0,9,0,1,0,1,0,25,1,0,0,1,0,31,136619
1,1,7,1,1,0,0,4,33,1,1,0,1,0,18,116811
1,1,10,1,0,0,0,3,66,0,0,1,0,1,42,305867
1,1,12,1,1,0,1,0,22,1,1,0,0,0,24,170136
0,0,2,0,0,0,0,4,45,1,0,0,1,1,22,250278
1,1,8,1,1,0,1,0,17,1,0,0,0,0,43,285027
1,1,8,1,1,0,1,0,14,1,0,0,0,0,50,73851
0,1,6,0,1,0,1,0,16,0,1,0,0,0,46,232465
1,1,12,0,0,0,1,1,34,1,0,0,1,0,39,188772
0,1,7,1,1,0,0,2,44,1,0,1,1,1,41,108952
0,1,6,1,1,0,1,0,13,0,1,0,1,0,49,198468
0,1,6,0,0,0,1,0,16,0,0,0,1,0,25,32801
0,0,4,0,0,0,0,1,21,0,1,0,2,0,45,238005
0,1,9,0,0,0,1,1,29,1,0,0,1,0,24,199158
1,0,3,1,1,1,0,2,11,0,0,0,0,0,33,271226
1,0,3,0,0,1,0,0,3,0,0,0,0,0,50,281508
0,0,3,1,0,0,0,0,6,0,0,0,0,0,29,306524
0,1,7,1,1,1,0,1,44,0,1,1,1,0,24,175259
0,1,7,1,1,0,0,0,18,1,0,0,0,0,47,297186
1,0,3,0,0,0,0,2,10,0,0,0,2,1,26,155878
0,0,2,0,0,0,0,0,9,0,0,0,2,0,44,182135
1,0,3,0,0,0,0,0,5,0,0,0,1,0,24,46126
1,1,8,1,1,1,1,1,29,0,1,0,1,0,16,107443
0,0,5,0,0,0,0,2,20,0,0,0,2,0,54,118416
0,0,3,0,0,0,0,2,13,0,0,0,2,0,34,341423
1,1,7,0,1,0,1,1,15,0,0,0,1,0,28,160626
1,1,13,1,1,0,1,0,24,1,0,0,1,0,43,100405
1,1,9,0,1,0,1,0,31,0,0,0,0,0,24,128888
1,1,9,1,1,0,1,4,36,1,0,0,0,0,18,92634
0,1,10,0,1,0,1,3,37,1,0,0,1,0,36,267695
0,1,6,0,0,0,1,1,36,0,0,0,1,0,48,29236
1,1,5,0,0,0,0,4,27,1,0,0,0,0,28,230530
0,0,4,0,0,0,0,0,8,0,0,0,1,0,21,143973
1,0,2,0,0,0,0,0,7,1,0,0,0,0,25,370727
1,0,5,0,0,0,0,1,20,0,0,0,1,0,30,133018
0,1,3,0,1,0,1,0,9,0,0,0,2,0,29,151582
1,1,9,0,0,1,1,0,22,1,1,0,1,0,23,297566
0,0,4,0,0,0,0,0,4,0,0,0,0,0,50,60228
0,0,4,1,1,0,0,0,10,0,1,0,1,0,33,237396
0,0,7,0,1,0,0,0,12,1,0,0,0,0,58,36761
1,0,4,1,1,1,0,3,22,0,1,1,1,1,37,109856
0,0,4,1,1,0,0,0,22,0,0,0,1,0,40,86698
0,0,1,0,0,0,0,0,5,0,0,0,1,0,25,363038
0,0,8,0,1,0,1,0,15,0,0,0,2,0,24,178568
0,0,3,1,0,0,0,0,7,0,0,0,1,0,28,160220
0,0,1,0,0,0,0,0,1,0,0,0,0,0,58,34699
1,0,4,0,0,1,0,0,5,0,0,0,0,0,32,290875
1,0,3,1,1,0,0,4,19,0,1,1,0,0,70,122398
1,1,10,0,1,1,1,0,27,0,0,0,1,0,30,125696
0,1,7,0,1,0,1,1,24,0,0,0,2,0,20,272810
0,0,3,0,0,0,0,0,15,1,1,0,0,0,26,326894
1,1,13,1,1,0,1,0,31,1,1,0,1,0,29,131306
0,1,12,0,0,1,0,1,46,0,0,0,1,0,20,90792
0,0,2,0,0,0,0,0,2,0,0,0,0,0,45,319339
1,1,11,0,0,0,1,0,20,1,0,0,1,0,22,54550
1,0,3,1,1,1,0,1,17,0,0,1,2,0,56,84304
0,0,1,0,0,0,0,0,8,1,0,0,1,1,57,270393
1,1,22,0,0,0,1,0,32,0,1,0,2,0,25,253671
0,0,4,1,1,0,0,0,7,0,0,0,0,0,33,24085
1,0,7,0,0,0,0,1,47,0,1,0,1,0,25,327287
0,1,1,1,1,0,0,2,7,0,0,0,0,0,19,240799
0,0,1,0,0,0,0,2,6,0,0,0,0,1,42,289549
1,1,4,1,1,0,0,4,13,0,0,0,0,0,34,173911
1,1,8,1,1,1,1,0,27,0,1,0,1,0,18,97134
0,0,6,1,0,0,0,0,10,0,0,0,1,0,21,135099
0,1,7,1,1,0,1,1,40,0,0,0,1,0,30,69956
0,1,7,1,1,0,1,0,16,0,0,0,0,0,29,80219
0,0,4,0,0,0,0,0,9,0,1,0,1,0,30,46563
1,0,0,0,0,1,0,0,1,0,0,0,0,0,25,294403
0,0,3,0,0,0,0,4,26,0,0,0,2,1,31,304249
1,0,4,0,0,0,0,1,16,0,0,0,1,0,42,372442
0,1,8,1,1,0,1,0,23,0,0,0,0,0,45,199441
0,0,8,1,1,0,1,0,55,0,0,0,0,0,24,97769
1,1,14,1,1,0,1,0,31,1,1,0,1,0,26,46254
0,0,9,0,1,0,1,0,20,1,0,0,1,0,40,130934
1,0,1,0,0,0,0,0,1,0,0,0,0,0,33,145884
0,0,4,0,1,0,0,1,11,0,0,0,1,0,24,101879
0,1,5,1,1,0,1,0,19,0,0,0,2,0,24,212023
1,1,10,0,0,0,1,3,29,1,0,0,1,0,21,41405
0,0,2,0,0,0,0,0,19,1,0,0,0,0,38,25668
0,1,3,0,1,0,0,1,8,0,1,0,1,0,27,250091
0,1,5,1,1,0,1,0,18,0,0,0,1,0,33,151896
1,1,14,1,1,0,1,0,49,1,0,0,1,0,28,90918
1,1,11,1,1,0,1,0,37,0,0,0,1,0,30,100779
1,0,5,1,0,1,0,0,8,0,0,0,1,0,40,344817
0,1,5,0,0,0,0,3,34,1,0,0,2,1,34,93997
0,1,0,1,0,0,0,0,4,0,0,0,0,0,21,167899
0,0,7,0,0,0,1,0,11,1,1,0,1,0,27,83349
0,0,2,0,0,0,0,0,5,1,0,0,1,0,24,58555
1,1,4,0,0,0,0,3,16,1,1,0,0,0,25,110036
0,0,2,0,0,0,0,1,6,0,0,0,2,0,32,60150
0,0,1,0,0,0,0,0,2,0,0,0,1,0,28,349074
0,0,3,0,0,0,0,0,6,0,1,0,2,0,27,312443
0,0,1,0,0,0,0,0,4,0,1,0,2,0,47,129912
1,0,7,1,1,1,0,1,29,0,1,0,2,0,31,191294
1,1,3,1,1,0,0,2,8,0,0,0,0,0,43,314758
0,0,3,0,0,0,0,3,36,0,0,0,2,1,38,229246
1,0,6,1,0,0,0,3,17,0,1,0,1,0,52,146769
